"doc_id","cause_num","date","date_f","court","judge","category","category_a","in_absentia","region","punishment","punishment_final"
112916020,"127/10200/23","2023-08-16","16 серпня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
114819466,"127/10662/23","2023-11-10","10 листопада 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
115762575,"127/10670/23","2023-12-14","14 грудня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
106797627,"127/11341/22","2022-10-18","18 жовтня 2022","Вінницький міський суд Вінницької області","Каленяк Р. А.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
116754629,"127/11347/23","2024-01-30","30 січня 2024","Вінницький міський суд Вінницької області","Каленяк Р. А.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
117495064,"127/11370/23","2024-03-05","5 березня 2024","Вінницький міський суд Вінницької області","Каленяк Р. А.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
115576481,"127/11961/23","2023-12-08","8 грудня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
116467773,"127/12108/23","2024-01-18","18 січня 2024","Вінницький міський суд Вінницької області","Шидловський О. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
106876109,"127/12127/22","2022-10-21","21 жовтня 2022","Вінницький міський суд Вінницької області","Каленяк Р. А.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 3 роки","позбавлення волі"
117801671,"127/12960/23","2024-03-21","21 березня 2024","Вінницький міський суд Вінницької області","Ковальчук Л. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
109858222,"127/13819/22","2023-03-27","27 березня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 2 роки","позбавлення волі"
113655839,"127/13821/23","2023-09-21","21 вересня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
105190434,"127/13877/22","2022-07-11","11 липня 2022","Вінницький міський суд Вінницької області","Шидловський О. В.","Поширення інформації про переміщення зброї, розміщення ЗСУ","114-2","-","Вінницька область","звільнили від покарання","умовне"
114168958,"127/14770/23","2023-10-13","13 жовтня 2023","Вінницький міський суд Вінницької області","Романчук Р. В.","Посягання на територіальну цілісність і недоторканність України","110","-","Вінницька область","звільнили від покарання","умовне"
115003356,"127/15245/22","2023-11-15","15 листопада 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","виправні роботи 2 роки","виправні роботи"
117947422,"127/15500/23","2024-03-20","20 березня 2024","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Державна зрада","111","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
116618973,"127/15700/23","2024-01-24","24 січня 2024","Вінницький міський суд Вінницької області","Каленяк Р. А.","Державна зрада","111","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
117967621,"127/18003/23","2024-03-27","27 березня 2024","Вінницький міський суд Вінницької області","Бернада Є. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
109711092,"127/18004/22","2023-03-21","21 березня 2023","Вінницький міський суд Вінницької області","Ковальчук Л. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 2 роки","позбавлення волі"
114317080,"127/18175/23","2023-10-18","18 жовтня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
115468651,"127/18261/22","2023-12-07","7 грудня 2023","Вінницький міський суд Вінницької області","Ковальчук Л. В.","Державна зрада","111","-","Вінницька область","позбавлення волі 14 років","позбавлення волі"
114748369,"127/1909/23","2023-11-08","8 листопада 2023","Вінницький міський суд Вінницької області","Іванченко Я. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
115688971,"127/1912/23","2023-12-08","8 грудня 2023","Вінницький міський суд Вінницької області","Гайду Г. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
109884474,"127/21065/22","2023-03-28","28 березня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Колабораційна діяльність","111-1","+","Вінницька область","позбавлення волі 9 років","позбавлення волі"
115784708,"127/21770/23","2023-12-15","15 грудня 2023","Вінницький міський суд Вінницької області","Шидловський О. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
110334773,"127/22095/22","2023-04-20","20 квітня 2023","Вінницький міський суд Вінницької області","Ковальчук Л. В.","Державна зрада","111","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
113868482,"127/22300/22","2023-10-02","2 жовтня 2023","Дружківський міський суд Донецької області","Дубовик Р. Є.","Державна зрада","111","-","Донецька область","позбавлення волі 15 років","позбавлення волі"
116661589,"127/23718/22","2024-01-26","26 січня 2024","Вінницький міський суд Вінницької області","Шидловський О. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
112795765,"127/23722/22","2023-08-10","10 серпня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
